id;Zone;engZone
1;Россия;rossiya
2;Москва и МO;moskva_i_mo
3;Санкт-Петербург и ЛO;sankt_peterburg_i_lo
4;Республика Адыгея;adygeya
5;Алтайский край;altayskiy_kray
6;Амурская область;amurskaya_oblast
7;Архангельская область;arhangelskaya_oblast
8;Астраханская область;astrahanskaya_oblast
9;Республика Башкортостан;bashkortostan
10;Белгородская область;belgorodskaya_oblast
11;Брянская область;bryanskaya_oblast
12;Республика Бурятия;buryatiya
13;Владимирская область;vladimirskaya_oblast
14;Волгоградская область;volgogradskaya_oblast
15;Вологодская область;vologodskaya_oblast
16;Воронежская область;voronezhskaya_oblast
17;Республика Дагестан;dagestan
18;Еврейская;evreyskaya_ao
19;Забайкальский край;zabaykalskiy_kray
20;Ивановская область;ivanovskaya_oblast
21;Республика Ингушетия;ingushetiya
22;Иркутская область;irkutskaya_oblast
23;Республика Кабардино-Балкария;kabardino-balkariya
24;Калининградская область;kaliningradskaya_oblast
25;Республика Калмыкия;kalmykiya
26;Калужская область;kaluzhskaya_oblast
27;Камчатский край;kamchatskiy_kray
28;Карачаево-Черкесия;karachaevo-cherkesiya
29;Республика Карелия;kareliya
30;Кемеровская область;kemerovskaya_oblast
31;Кировская область;kirovskaya_oblast
32;Республика Коми;komi
33;Костромская область;kostromskaya_oblast
34;Краснодарский край;krasnodarskiy_kray
35;Красноярский край;krasnoyarskiy_kray
36;Республика Крым;respublika_krym
37;Курганская область;kurganskaya_oblast
38;Курская область;kurskaya_oblast
39;Липецкая область;lipetskaya_oblast
40;Магаданская область;magadanskaya_oblast
41;Республика Марий Эл;mariy_el
42;Республика Мордовия;mordoviya
43;Мурманская область;murmanskaya_oblast
44;Ненецкий автономный округ;nenetskiy_ao
45;Нижегородская область;nizhegorodskaya_oblast
46;Новгородская область;novgorodskaya_oblast
47;Новосибирская область;novosibirskaya_oblast
48;Омская область;omskaya_oblast
49;Оренбургская область;orenburgskaya_oblast
50;Орловская область;orlovskaya_oblast
51;Пензенская область;penzenskaya_oblast
52;Пермский край;permskiy_kray
53;Приморский край;primorskiy_kray
54;Псковская область;pskovskaya_oblast
55;Республика Алтай;respublika_altay
56;Ростовская область;rostovskaya_oblast
57;Рязанская область;ryazanskaya_oblast
58;Самарская область;samarskaya_oblast
59;Саратовская область;saratovskaya_oblast
60;Республика Якутия;saha_yakutiya
61;Сахалинская область;sahalinskaya_oblast
62;Свердловская область;sverdlovskaya_oblast
63;Северная Осетия;severnaya_osetiya
64;Смоленская область;smolenskaya_oblast
65;Ставропольский край;stavropolskiy_kray
66;Тамбовская область;tambovskaya_oblast
67;Республика Татарстан;tatarstan
68;Тверская область;tverskaya_oblast
69;Томская область;tomskaya_oblast
70;Тульская область;tulskaya_oblast
71;Республика Тыва;tyva
72;Тюменская область;tyumenskaya_oblast
73;Республика Удмуртская;udmurtiya
74;Ульяновская область;ulyanovskaya_oblast
75;Хабаровский край;habarovskiy_kray
76;Республика Хакасия;hakasiya
77;Ханты-Мансийский АО;hanty-mansiyskiy_ao
78;Челябинская область;chelyabinskaya_oblast
79;Чеченская Республика;chechenskaya_respublika
80;Республика Чувашия;chuvashiya
81;Чукотский автономный округ;chukotskiy_ao
82;Ямало-Ненецкий;yamalo-nenetskiy_ao
83;Ярославская область;yaroslavskaya_oblast
